,Title,Link,Genre,Developer,Publisher,Release_JP,EU release,NA release,Plots
516,Dance Dance Revolution 5thMix,/wiki/Dance_Dance_Revolution_5thMix,Dance Dance Revolution 5thMix,Konami,Konami,"September 20, 2001",Unreleased,Unreleased," The core gameplay of 4thMix is the same as the previous Dance Dance Revolution games. For scoring, Each step is given a score based on the accuracy of the step and the running combo. A judgment of Great or Perfect will award points and increase the combo, whereas any lower judgment will break the combo, reducing it to zero. Jumps are only worth one judgment, and only adds one to the combo. Each Great is worth 555 points and each Perfect is worth 777 points. The player also receives 333 points multiplied by the current combo after every step. 4thMix is unusual in that it is the only game in the series where Boo steps do not deplete the dance gauge.  A player may play anywhere from one to five songs, depending on how many the arcade operator sets the machine to play each game.  At the end of each song, the player sees their accumulated points, bonus points, and how many of each kind of step they stepped.  They also get a letter grade that is dependent on the judgments received during play, ranging from ""AA"" (all steps Perfect) to D (failure, only seen in Versus mode when the other player passes).  If the player manages to pass his or her songs, a cumulative results screen is given, totaling the stats from all played stages.  "
518,Dance Dance Revolution Disney Mix,/wiki/Dance_Dance_Revolution_Disney_Mix,Dance Dance Revolution Disney Mix,Konami,Konami,"September 17, 2001","September 28, 2001","September 18, 2001"," is typical to other 4th Mix generation DDR games. The game also features Dance Magic mode, an item battle mode using a tug of war style lifebar, where combos increase a gauge which sends modifiers to the other player. The mode was not seen on any future DDR game until it was revived as Battle mode on SuperNOVA.  "
520,Dance Dance Revolution Konamix,/wiki/Dance_Dance_Revolution_Konamix,Dance Dance Revolution Konamix,Konami,Konami,Unreleased,Unreleased,"April 23, 2002"," The core gameplay of 4thMix is the same as the previous Dance Dance Revolution games. For scoring, Each step is given a score based on the accuracy of the step and the running combo. A judgment of Great or Perfect will award points and increase the combo, whereas any lower judgment will break the combo, reducing it to zero. Jumps are only worth one judgment, and only adds one to the combo. Each Great is worth 555 points and each Perfect is worth 777 points. The player also receives 333 points multiplied by the current combo after every step. 4thMix is unusual in that it is the only game in the series where Boo steps do not deplete the dance gauge.  A player may play anywhere from one to five songs, depending on how many the arcade operator sets the machine to play each game.  At the end of each song, the player sees their accumulated points, bonus points, and how many of each kind of step they stepped.  They also get a letter grade that is dependent on the judgments received during play, ranging from ""AA"" (all steps Perfect) to D (failure, only seen in Versus mode when the other player passes).  If the player manages to pass his or her songs, a cumulative results screen is given, totaling the stats from all played stages.  "
523,Dancing Stage EuroMix,/wiki/Dancing_Stage_EuroMix,Dancing Stage EuroMix,Konami,Konami,Unreleased,"February 16, 2000",Unreleased," The core gameplay involves the player stepping their feet to correspond with the arrows that appear on screen and the beat. During normal gameplay, arrows scroll upwards from the bottom of the screen and pass over a set of stationary arrows near the top (referred to as the ""guide arrows"" or ""receptors"", officially known as the Step Zone). When the scrolling arrows overlap the stationary ones, the player must step on the corresponding arrows on the dance platform, and the player is given a judgement for their accuracy of every streaked note.   "
527,Dancing Stage Fusion,/wiki/Dancing_Stage_Fusion,Dancing Stage Fusion,Konami,Konami,Unreleased,"November 5, 2004",Unreleased," Dancing Stage Fusion features EyeToy support for the PlayStation 2 release as well as new music from artists like The Darkness, The Sugababes and others. There is an option to use two dance mats at the same time, or against each another in versus mode, with eight levels of difficulty.  The main mode is the Game Mode, where one or two players compete for points over three songs. Each player can choose a different difficulty, with a substantial number of tweaks and settings that can be applied to make the game more or less difficult. Besides the Game Mode, a Workout mode is also included, which is targeted towards fitness or workout, as well as an Endless Mode which allows the players to dance continuously.  "
528,Dancing Stage Party Edition,/wiki/Dancing_Stage_Party_Edition,Dancing Stage Party Edition,Konami,Konami,Unreleased,"November 15, 2002",Unreleased," The core gameplay of 4thMix is the same as the previous Dance Dance Revolution games. For scoring, Each step is given a score based on the accuracy of the step and the running combo. A judgment of Great or Perfect will award points and increase the combo, whereas any lower judgment will break the combo, reducing it to zero. Jumps are only worth one judgment, and only adds one to the combo. Each Great is worth 555 points and each Perfect is worth 777 points. The player also receives 333 points multiplied by the current combo after every step. 4thMix is unusual in that it is the only game in the series where Boo steps do not deplete the dance gauge.  A player may play anywhere from one to five songs, depending on how many the arcade operator sets the machine to play each game.  At the end of each song, the player sees their accumulated points, bonus points, and how many of each kind of step they stepped.  They also get a letter grade that is dependent on the judgments received during play, ranging from ""AA"" (all steps Perfect) to D (failure, only seen in Versus mode when the other player passes).  If the player manages to pass his or her songs, a cumulative results screen is given, totaling the stats from all played stages.  "
531,Danger Girl,/wiki/Danger_Girl_(video_game),Danger Girl,n-Space,THQ,Unreleased,"December 15, 2000","September 14, 2000"," Each girl has a specific equipment, mostly limited to differences between the weapons. In overall 12 levels, the goal is to make a way through the terrain that contains a certain numbers of enemies that will block the way. They will actively run and notice when the players step out from hiding. There is no way to save progress during the missions. In case the character dies during a mission, it will restart from the beginning. All levels have interactive puzzle elements with occasional cutscenes.  "
533,Darius Gaiden,/wiki/Darius_Gaiden,Darius Gaiden,Nexus Interactive,Taito,"December 20, 1996",Unreleased,Unreleased," Darius Gaiden is a horizontal-scrolling shooter video game. The player controls a starship named the Silver Hawk in its mission to obliterate the Belsar empire, which is plotting to destroy what is left of the human race and their new home of planet Darius. A second player can join in at any time. The game uses a non-linear level progression system where players can select whichever level they choose after completing the previous one. There are twenty-seven stages total, with the player only being able to play seven of them at a time. In these levels, the Silver Hawk must destroy constantly moving formations of enemies while avoiding their projectiles, as well as dodging obstacles. Enemies are made to resemble fish, crabs, seahorses, and other aquatic creatures. Levels conclude with a boss that must be defeated by destroying its weak spot, such as its head or mouth.  The Silver Hawk begins the game with a forward-moving shot. Collecting colored emblems dropped by correspondingly colored enemies allows the player to power-up the Silver Hawk's abilities. Green emblems grant the player missiles, red emblems increase the length and power of shots, and blue emblems give the player a protective shield. Collecting additional emblems upgrades the player's weapons, such as a stronger shield or missiles that move forwards and backwards. The Silver Hawk also begins the game with three black hole bombs. Firing them creates a large swirling vortex that sucks in all enemies and projectiles, followed by lightning strikes that inflict massive damage on enemies. The Silver Hawk also has the ability to capture minibosses, which appear in the middle of most levels. This is accomplished by destroying the energy orb on its head and collecting it when it flies off. Captured minibosses ally with the player and fire their own weapons at enemies for a brief period of time, before they self-destruct.  "
534,Darklight Conflict,/wiki/Darklight_Conflict,Darklight Conflict,Electronic Arts,Rage Software,Unreleased,Unreleased,"June 15, 1997"," The player pilots one of three different starfighters, each with different strengths and weaknesses, and occasionally a captured enemy ship, or controlling a gun turret on the Mothership (The ""War Drum""). The missions include simple combat, defending the mothership, destroying an enemy Ovon mothership, clearing an asteroid field, and retrieving an object with a tractor beam. The player's ship moves between mission areas via ""hyperspace portals"", passing through a hyper-space environment, resembling that seen in 2001: A Space Odyssey. Often during hyperspace transit, varying streams of energy are encountered; gold energy replenishes the energy which fuels the ship, while blue energy drains it, reducing the ship's effectiveness.  Darklight Conflict has several multiplayer modes, including deathmatch, team battles, and space combat variations of tag and capture the flag.   After the player character completes the four campaigns and destroys the Ovon home-world for the Reptons, the Reptons send their best pilots to kill the player character. The player character escapes and jumps to Earth, where centuries have passed since the player character left. The ship is greeted by the Earth Defense Fleet, which destroys all Repton ships in hot pursuit.  "
535,Dark Seed,/wiki/Dark_Seed_(video_game),Dark Seed,Cyberdreams,Gaga,"October 27, 1995",Unreleased,Unreleased," Mike Dawson is a successful advertising executive and writer who has recently bought an old mansion on Ventura Drive (named after Ventura Boulevard) in the small town of Woodland Hills. On his first night at the house, Mike has a nightmare about being imprisoned by a machine that shoots an alien embryo into his brain. He wakes up with a large headache and, after taking a painkiller and a shower, explores the mansion. He finds clues about the previous owner's death, which reveal the existence of a parallel universe called the Dark World ruled by sinister aliens called the Ancients.  On the second day, he travels to that universe through the living room mirror and meets the Keeper of the Scrolls, a friendly darkworlder. She tells him that the nightmare he had on his first night was real and warns him that if the embryo—the eponymous Dark Seed—is born, it will kill him and all of humanity. The only way to stop this, she says, is to destroy the Ancients' Power Source.  On the third and final day, Mike executes an elaborate plan that culminates with the Ancient ship's departure on the Dark World, depriving them of their power source, and the destruction of the living room mirror, sealing the Ancients out of the Normal World. The game ends with the town librarian visiting Mike and telling him she found some pills in her purse prescribed to Mike, although she does not understand how they got there. The medication will presumably kill the embryo inside his head. A morphing animation reveals that, unbeknownst to the librarian, she is the Keeper of the Scrolls' counterpart. Mike then states that he is just beginning to understand. The ending then shows that the old mansion has been put up for sale.   Unlike most point-and-click adventure games, which give the player time to explore, many actions in Dark Seed must occur within precise time limits, or the game will end up in an unwinnable state. As a result of this, one must start over repeatedly to win without resorting to a walkthrough. Amiga Format, in its review, stated with regards to Dark Seed's gameplay: ""Too many things in the game need to be done within a specific time, or in a certain order, and you don't necessarily know when you've passed that 'critical point' after which you're fighting a lost cause. As a result, you often have to play the game several times over, going through scenes you've seen countless times before"".  The player has three real time hours within which they must complete the game, which is the equivalent of three in-game days. Time can also be passed by using the in-game wait function, and the time can be checked by looking at Dawson's watch, or by inspecting the grandfather clock in the house. At the end of each day, Dawson goes to sleep and upon going to bed, each night he has a nightmare of the Dark World. Dawson automatically goes to sleep at ten P.M. each night, regardless of where the player is. If it becomes night while Dawson is in the Dark World, he will fall asleep and die, resulting in a game over. Dawson is able to access the Dark World on day two upon receiving a piece of a mirror in the mail and re-assembling it with the rest of the mirror, creating a portal to the Dark World. Every room, person and object in the normal world has a Dark World equivalent and this is often necessary for puzzle solving.  When interacting with objects, the options available to the player include look/inquire, touch/manipulate, and move, denoted by a ""?"", a hand, and four arrows pointing inwards respectively. Looking at an object and manipulating an object are context-sensitive: the ""?"" becomes a ""!"" when the cursor is over items or areas of interest and the hand icon points upwards when the cursor is over items that can be picked up or manipulated.  "
538,Darkstalkers 3,/wiki/Darkstalkers_3,Darkstalkers 3,Capcom,Capcom,"November 5, 1998","November 15, 1999","November 30, 1998"," The game retains the character roster of Darkstalkers: The Night Warriors, omitting Donovan, Huitzil and Pyron from the lineup. Taking their place are four new characters: Jedah, Lilith, Q-Bee and B. B. Hood. It also features a secret character/mode, Shadow, where the player assumes the identity of the defeated character for the next fight (e.g. if Morrigan is defeated, in the next fight the player will play as Morrigan).  Vampire Savior eschews the traditional round-based system in favor of what is dubbed the ""Damage Gauge System"": battles take place during a single round, with each fighter having two life bars and corresponding life markers similar to those in Rare's Killer Instinct. When one fighter loses a life marker after the life bar is emptied, the fighters reset their positions as if starting a new round, but the victorious fighter retains their remaining life bar. When the player is attacked, some of the health lost is displayed in white, which can be recovered if the player doesn't take any more damage. The game also introduces the ""Dark Force System"" which uses a bar or super meter to allow players to perform special abilities unique to each character for a limited period. The PlayStation version separates Dark Force into 2 modes from which the player chooses before each match: ""Dark Force Change"" is the same as the traditional Dark Force mode, whereas ""Dark Force Power"" is an enhanced mode that takes 2 bars of the super meter and the player can inflict damage that is not recoverable (but will also take non-recoverable damage). In Dark Force Power, the player can still activate their special enhancement, but they have to press a unique button combination rather than it being tied to whether or not the player is in Dark Force mode.   Jedah Dohma, one of the high nobles of Makai, is resurrected after a premature death long ago. Seeing the current chaotic state of the demon world, he decides that the only way to save Makai is to recreate it. To this end, he conjures a pocket dimension known as Majigen, to which he summons worthy souls to help feed his new world. As luck would have it, those souls belong to the returning Darkstalkers from the first two games, in addition to three newcomers.  "
539,Darkstone,/wiki/Darkstone,Darkstone,Delphine Software International,Electronic Arts,Unreleased,Unreleased,"January 28, 2001"," In the distant past a corrupt monk, Draak, turned against the goddess of light, Kaliba, and turned himself into a dragon. However, he was eventually thwarted from destroying the world via the Time Orb, created from seven of Kaliba's tears. To protect the Time Orb from Draak's followers, it was split apart again by Kaliba's monks and the seven crystals hidden across the four lands of Uma.  The game begins when Draak has recovered from his earlier defeat and returned with his minions to the world of Uma. As part of his return he has created the Darkstone, which drains life energy from Uma, bringing death and mayhem. Players take on the role of an adventurer who has to recreate the Time Orb and use this to slay Draak in his lair.  Beginning in an unnamed village, the player can choose from a range of characters (warrior/Amazon, wizard/sorceress, assassin/thief and monk/priestess) and from here they quest across the four lands of Uma - Ardyl, Marghor, Omar and Serkesh - to solve quests, kill the evil creatures roaming the lands and delve into dungeons to locate the seven crystals to form the Time Orb. At some point in the gameplay the Darkstone itself erupts out of the ground in the village, switching the game from the previous colour scheme of a sunny day to more oppressive purples.  There are seven crystals to be found after completing quests in the dungeons: the purple Crystal of Wisdom, the red Crystal of Virtue, the blue Crystal of Bravery, the yellow Crystal of Nobility, the turquoise Crystal of Compassion, the green Crystal of Integrity and the grey Crystal of Strength. These are magically reassembled by the hermit Sebastian to form the crystal Time Orb.  Villagers will ask the player to do optional quests in return for money, either retrieving artifacts or killing an infamous monster, and are randomly selected for each new game. The artifacts are the Holy Grail, the Royal Diadem, the Shield of Light, the Unicorn's Horn, the Horn of Plenty, the Dragon's Scale, the Magic Anvil, the Path Book, the Medallion of Melchior, the Sacred Scroll, the Stone of Souls, the Cursed Sword, the Storm Flower, the Claw of Sargon, the Celestial Harp, the Bard's Music Score and the Broken Vase. The monsters are the ratman Buzbal the Furious, the vampire Nosferatu and the skeletal Evil Garth.  The crystal quests are found by exploring the lands of Uma to find NPCs who send you into nearby dungeons.   A typical medieval RPG, Darkstone is similar to Baldur's Gate and Diablo in gameplay style and themes.  revolves around improving the character stats of strength, magic, dexterity and vitality as well as the character's gear, weapons, magical knowledge, etc. The four lands of Uma increase in difficulty and are accessed sequentially, with different enemies patrolling the lands and dungeons beneath.  The village acts as an initial training area with firing ranges and example weapons, then subsequently as a trade base for adventurers to sell their loot, bank their cash, buy upgrades, repair armour and weaponry, buy new spellbooks and stock up on health and mana potions as well as food (characters can die from hunger). It is possible to pick up cursed items, such as a cloak that makes the player randomly drop items from their inventory, so a shopkeeper can remove these for you. Finally, if the player wants to hear a song about the Darkstone, they can toss a coin to the singer Audren.  Magic can be learnt by all characters, via finding or buying spellbooks, with 32 potential spells of varying difficulty. A variety of skills can also be learnt, such as thieving from other characters, repairing your own gear, disarming traps, etc. Spells and skills can be acquired by all character types apart from lycanthropy, which can only be learnt by the sorceress. This allows her to change into a werewolf and converts all magic stat points to strength points.  Quests for each new game are randomly selected from 20 options, with different dungeon placement and land layouts, improving the game's replayability. The PC version allows the player to control two characters, switching between them at will, though the Playstation version only allowed for a single character.  "
540,Dave Mirra Freestyle BMX,/wiki/Dave_Mirra_Freestyle_BMX,Dave Mirra Freestyle BMX,Z-Axis,Acclaim Entertainment,Unreleased,Unreleased,"September 30, 2000",Games  
541,Dave Mirra Freestyle BMX Maximum Remix,/wiki/Dave_Mirra_Freestyle_BMX,Dave Mirra Freestyle BMX Maximum Remix,Z-Axis,Acclaim Entertainment,Unreleased,"June 8, 2001","May 21, 2001",Games  
545,Dead in the Water,/wiki/Dead_in_the_Water_(video_game),Dead in the Water,ASC Games,Player 1,Unreleased,Unreleased,"March 2, 1998"," Dead in the Water is a boat racing game. The game features nine tracks, with thirteen different characters to play.  "
546,Dead or Alive,/wiki/Dead_or_Alive_(video_game),Dead or Alive,Tecmo,Sony Computer Entertainment Europe,"March 12, 1998","July 1, 1998","January 3, 1998"," The gameplay of Dead or Alive borrows from Virtua Fighter, but makes some key changes that changes the way Dead or Alive is played in comparison to Virtua Fighter.  Unlike other fighting games of the time, in place of a ""guard"" button, Dead or Alive uses a ""hold"" button, which causes the fighter to grab their opponent's limbs if they are attacking at the time. This countering system was the first in the fighting genre to utilize different commands that correspond to each type of attack. There are two kinds of holds, an Offensive Hold and a Defensive Hold; the latter are executed by holding back or forward on the directional pad along with the guard input to either force away or counter-damage an opponent.  The outer edges of the fighting arena, called ""danger zones"", are set with explosives which deal a high amount of damage to any fighter who comes in contact with them. They can also send an affected character in the air so the opposing player can execute a juggling air combo. However, this can be avoided with a defensive roll.   A massive corporation known as DOATEC (Dead or Alive Tournament Executive Committee), host a fighting competition called the Dead or Alive World Combat Championship, where fighters from all over the world can compete for the title as world champion and a vast amount of money. A runaway kunoichi known as Kasumi enters the Dead or Alive tournament to seek revenge against her uncle Raidou, who was responsible for crippling her brother, Hayate.   Kasumi's brother, Hayate, was next in line to succeed their father, Shiden, as the 18th leader of the Mugen Tenshin Ninja Clan. After Hayate was crippled by Raidou, Shiden was left bitter from what Raidou did to his son, and Shiden refused to discuss the details surrounding the attack. Shiden ordered his daughter, Kasumi, to take her brother's place as the next leader of their clan. However, Kasumi abandoned the village. Learning that her evil uncle was her brother's attacker, Kasumi tracks him down to the Dead or Alive tournament where she enters to defeat him.   Kasumi eventually defeats and kills Raidou, but her decision to leave her village without permission violates the strict laws of the ninja society and is punishable by death. As a result, she becomes a hunted fugitive.  "
547,Deathtrap Dungeon,/wiki/Deathtrap_Dungeon_(video_game),Deathtrap Dungeon,Asylum studios,Eidos Interactive,Unreleased,April 1998,"January 4, 1998"," The game is a third-person action-adventure, with the player taking the role of an adventurer (either the Amazon ""Red Lotus"" or the barbarian ""Chaindog""), who at the invitation of a wizard explores a series of dungeons and must overcome both monsters and traps to find riches.  "
550,Deep Freeze,/wiki/Deep_Freeze_(video_game),Deep Freeze,Talon,Sammy Corporation,"January 14, 1999",Unreleased,Unreleased," The game is set in 2001, when a terrorist organization known as Hephaestus has risen, with the aforementioned INTER-ANTS being formed as a response to combat them.  Deep Freeze is an action adventure game. All the characters act in teams. At the beginning of each mission, players can pick one of five characters who will play as a partner and provide cover fire. This computer-controlled partner can be controlled through simple commands.  The game features many weapons the player can choose from the start, including a shotgun, Uzi submachine gun, and magnum handgun. Players can also collect grenades in the game, which can flush out enemies hidden behind obstacles such as barrels. The player can also perform rolls, which allows them to dodge bullets from enemies.  Despite being released in Japan only, the game features English voice acting. However, all the menus in the game are in Japanese.  The game uses pre-rendered backgrounds and camera switching in a similar fashion to the game Resident Evil.  "
551,Defcon 5,/wiki/Defcon_5_(1995_video_game),Defcon 5,Millennium Interactive,Data East,"May 17, 1996",February 1996,"November 24, 1995"," As a ""cyberneer"" working for the fictional Tyron Corporation, the player character is tasked with installing automated defence software at the deep space mining installation MRP-6F, a large compound located around the top of a crater in which mining operations take place. Its purpose is to defend the mining installation from hostile attack. For this purpose the installation houses six powerful defence turrets installed around the crater, as well as a myriad of support systems for power generation and munitions stores for those armaments.  Shortly after the player character's arrival at MRP-6F, the installation is attacked by an unknown enemy force. The player character must face enemy fighters as well as invaders searching the base. The overall goal is to escape the installation with evidence of what has transpired.   The game is reminiscent of the System Shock series in terms of gameplay. The player must explore the base to find items which is needed to establish a line of defence and ultimately escape the installation. This involves fighting off the invading enemies by deploying the defence turrets effectively and using the installation's computer terminals (called ""VOS terminals"") to hinder the intruder's advance.   The computer terminals in the game offer an unusually wide range of interaction. Players can use them to remotely control the defence turrets, load ammunition and inspect the turrets for damage and deploy combat droids within the installation's perimeters. Doors can be controlled from the VOS terminals to control access to the installation's different areas. The player can use this capability to lock in enemy forces in parts of the installation.   The game also allows the player to fight the invaders by shooting them, but this is discouraged by the fact that new enemies arrive with each passing wave of attacking ships. Also, destroying an enemy greatly degrades the air quality in the immediate area. The computer might even seal doors to polluted areas, sometimes trapping the player. The player can dissolve the pollution by opening doors to adjacent areas, and the pollution levels can be monitored in the VOS terminal's environmental module.'   The installation consists of two major towers with seven floors each (the administrative and domestic blocks), three hangars, a service level, six turrets and a control room. All these are linked by a subway-train like transportation system named ""LIMO"". Several elevator systems also connect the different levels. This complex layout enables players to avoid enemies by choosing an alternate route to their destination.  "
554,Demolition Racer,/wiki/Demolition_Racer,Demolition Racer,Pitbull Syndicate,Infogrames,Unreleased,"November 1, 1999","August 31, 1999"," The game combines destruction and driving tactics in a fast-paced racing environment. It is very similar to the Destruction Derby series.   Races are won not solely by coming first in the race but by gaining the most points during the course of the event, with points being awarded for crashing into the competitors cars, breaking points boxes scattered on the track, and lastly by placing high, which delivers a points multiplier. The player must be careful of the condition of his own car as if it takes too much damage the race will end with a disqualification. Boxes are also scattered across the track that repair the players car when run over.  The PC version contained slightly better in-game graphics than the PlayStation version, and included varied weather and times of day. Drivers are given (optional) wacky portraits which displayed on the side of the screen in a race, showing who's ahead of who.  "
557,Densha de Go! 2,/wiki/Densha_de_Go!_2,Densha de Go! 2,Taito,Taito,"March 18, 1999",Unreleased,Unreleased," With 13 vehicles, on 16 missions, there are 7 main lines: Hokuhoku Line, Akita Shinkansen Line, Ōu Main Line, Tazawako Line, Keihin-Tōhoku Line, Yamanote Line, and the Tōkaidō Main Line.  Unique to the Nintendo 64 version: 20  is a Beginner Mode, which allows 999 seconds for the player to complete either the Training Course or Practice Course. The player is given an allotted amount of time to bring their train into the next station as well as a fixed time that the train was expected to arrive. If the player goes around curves too fast, stops suddenly or incurs other such dangers of train operation a few seconds are taken way from the remaining time they have to complete their task.  As with most Densha de Go! games, the Nintendo 64 version has a special controller which is plugged into controller outlet 3, while the voice mic is inserted into controller outlet 4, and a standard controller in outlet 1.: 8, 17  It consists of a switch on the left that goes up and down, and it controls the train's speed, all five of its drive speeds, and Neutral. The handle on the right controls the breaking speeds 1–8, Emergency brake, and doors opening. Between these two levers is a slot in which that the player can place a pocket watch or stop watch (not included but designed to look more realistic) to keep the time as they drive. There are five buttons, A, B, C, Start, and Select. The select button acts as the Z button to show distance to the next stop, in some game variations.: 9   "
558,Depth,/wiki/Fluid_(video_game),Depth,Opus,SCEE,"December 6, 1996","August 1, 1998",Unreleased," The ""Groove Editor"" allows for in depth manipulation of samples collected. Several tracks can be mixed at once, controlling speed, pitch, frequency and modulation with a series of coloured crystals. Mixes can be saved to memory card, and then played during levels. Controlling the dolphin allowed the player to add improvisations during the playback sessions, frequency being mapped to the up/ down controls, and modulation to left/ right.  "
559,Derby Stallion,/wiki/Derby_Stallion,Derby Stallion,ASCII Corporation,ASCII Corporation,"July 17, 1997",Unreleased,Unreleased," The ultimate goal of the player in the Derby Stallion games is to win the title of GI (Group I) Racer. To do this, the player must attempt to develop the greatest stock of horses that he can in order to have the greatest chance at each of the weekday and holiday races that compose the 1-year racing schedule of the fictitious ""SRA"" (an abbreviation of Sonobe Racing Association) group. Between races, the player engages in numerous business simulation, farm simulation, and role-playing activities.  Derby Stallion games have evolved as newer members of the series have been added, allowing players greater and greater control over every aspect of the horse-raising business. As such, the player must now race horses and place racing bets, manage the working of a stables and/or ranch, select different studs and broodmares for breeding, learn to break and train horses, and set up advantageous horse trades or sales, among other duties. Players must also make critical decisions about appropriate ages to race horses, breeds to pursue, and the timing of events to coincide with race dates. As the player improves the stock of his horses, his racing statistics, and his position in the world of the horse business, his Group Ranking increases until he reaches the goal of Group I at which point he has won the game. The games also allow the player to continue playing after the top goal has been met.  Derby Stallion games all feature a single-player mode, however much effort has been put into making the games as versatile as possible for multiplayer capabilities. Multiplayer functions allow players to trade or complete sales between themselves, to set up breeders' agreements, and to race against opponents. To accomplish this, various methods have been used to exchange data from the earliest password code exchange to online connectivity with PCs, Satellaview exchange (via 8MB memory packs and slotted application cartridge), and Randnet service. Other methods of data exchange that have been developed include telephone satellite connections for players using DoCoMo phones.  "
560,Derby Stallion '99,/wiki/Derby_Stallion,Derby Stallion '99,ASCII Corporation,ASCII Corporation,"September 30, 1999",Unreleased,Unreleased," The ultimate goal of the player in the Derby Stallion games is to win the title of GI (Group I) Racer. To do this, the player must attempt to develop the greatest stock of horses that he can in order to have the greatest chance at each of the weekday and holiday races that compose the 1-year racing schedule of the fictitious ""SRA"" (an abbreviation of Sonobe Racing Association) group. Between races, the player engages in numerous business simulation, farm simulation, and role-playing activities.  Derby Stallion games have evolved as newer members of the series have been added, allowing players greater and greater control over every aspect of the horse-raising business. As such, the player must now race horses and place racing bets, manage the working of a stables and/or ranch, select different studs and broodmares for breeding, learn to break and train horses, and set up advantageous horse trades or sales, among other duties. Players must also make critical decisions about appropriate ages to race horses, breeds to pursue, and the timing of events to coincide with race dates. As the player improves the stock of his horses, his racing statistics, and his position in the world of the horse business, his Group Ranking increases until he reaches the goal of Group I at which point he has won the game. The games also allow the player to continue playing after the top goal has been met.  Derby Stallion games all feature a single-player mode, however much effort has been put into making the games as versatile as possible for multiplayer capabilities. Multiplayer functions allow players to trade or complete sales between themselves, to set up breeders' agreements, and to race against opponents. To accomplish this, various methods have been used to exchange data from the earliest password code exchange to online connectivity with PCs, Satellaview exchange (via 8MB memory packs and slotted application cartridge), and Randnet service. Other methods of data exchange that have been developed include telephone satellite connections for players using DoCoMo phones.  "
561,Descent,/wiki/Descent_(1995_video_game),Descent,Parallax Software,Interplay,"January 26, 1996",May 1996,"March 12, 1996","  Descent is set in 2169. The story begins with a briefing between PTMC executive S. Dravis and the player's character, PTMC's best ""Material Defender"", who is hired on a mercenary basis to eliminate the threat of a mysterious alien computer virus infecting the machines and robots used for off-world mining operations.  The PTMC developed numerous mines in the Solar System's planets and moons for a variety of uses, including resource extraction, science research, and military installations. Prior to entering a mine, the player receives an intelligence briefing upon the robots used there, however the computer virus has resulted in some existing robots either modified considerably or even new robots being produced that PTMC is unaware about. The player starts with the mines on the Moon and later shift to Venus and to Mercury, where a boss robot has to be destroyed. Afterward, the mines progress further away from the Sun, as the player visits Mars, then the moons of Jupiter, Saturn, Uranus, Neptune, and eventually to Pluto and its moon Charon. The player accesses the three secret levels located in the asteroid belt using alternative exit doors hidden in specific levels.: 219   After defeating the boss robot on Charon, the Material Defender is informed he cannot return to the PTMC's headquarters in Earth orbit, as there is a chance his ship may be infected with the same virus as the defeated robots. His employer also mentions that PTMC has lost contact with their deep-space installations outside the Solar System, setting the stage for the sequel.  "
